Occupation,Area Name,Employment,Employment percent relative standard error,Hourly mean wage,Annual mean wage,Wage percent relative standard error,Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage,Annual 25th percentile wage,Annual median wage,Annual 75th percentile wage,Annual 90th percentile wage,"Employment per 1,000 jobs",Location Quotient
Computer Systems Analysts (SOC code 15-1211),North Dakota (38-00000),180.00,12.30,49.20,"102,340.00",1.90,34.05,41.33,46.32,56.35,64.36,"70,820.00","85,960.00","96,350.00","117,220.00","133,880.00",0.42,0.13
Computer Systems Analysts (SOC code 15-1211),Ohio (39-00000),"15,490.00",6.30,49.37,"102,700.00",2.20,29.52,37.40,47.59,61.15,72.36,"61,400.00","77,790.00","98,990.00","127,180.00","150,520.00",2.80,0.87
Computer Systems Analysts (SOC code 15-1211),Oklahoma (40-00000),"3,100.00",9.30,50.42,"104,880.00",4.60,29.56,37.55,48.29,61.99,79.05,"61,480.00","78,110.00","100,450.00","128,930.00","164,420.00",1.84,0.57
Computer Systems Analysts (SOC code 15-1211),Oregon (41-00000),"5,030.00",6.90,58.11,"120,860.00",2.10,38.58,47.92,53.43,64.00,79.68,"80,250.00","99,670.00","111,140.00","133,120.00","165,740.00",2.56,0.79
Computer Systems Analysts (SOC code 15-1211),Pennsylvania (42-00000),"15,400.00",5.80,47.88,"99,590.00",1.60,29.31,37.09,46.85,59.00,67.61,"60,970.00","77,150.00","97,450.00","122,720.00","140,630.00",2.56,0.79
Computer Systems Analysts (SOC code 15-1211),Puerto Rico (72-00000),"1,310.00",6.30,29.77,"61,920.00",1.30,17.52,22.76,29.78,37.50,40.18,"36,440.00","47,330.00","61,940.00","78,000.00","83,570.00",1.40,0.43
Computer Systems Analysts (SOC code 15-1211),Rhode Island (44-00000),"1,560.00",18.30,57.83,"120,290.00",1.80,36.12,44.19,54.32,65.35,81.14,"75,120.00","91,910.00","112,980.00","135,920.00","168,770.00",3.16,0.98
Computer Systems Analysts (SOC code 15-1211),South Carolina (45-00000),"7,290.00",6.70,47.40,"98,600.00",1.90,25.43,35.33,45.55,58.21,65.14,"52,890.00","73,490.00","94,740.00","121,090.00","135,490.00",3.21,0.99
Computer Systems Analysts (SOC code 15-1211),South Dakota (46-00000),"1,050.00",17.20,49.06,"102,040.00",4.00,32.57,37.77,46.08,56.32,73.81,"67,750.00","78,560.00","95,850.00","117,140.00","153,520.00",2.32,0.72
Computer Systems Analysts (SOC code 15-1211),Tennessee (47-00000),"9,820.00",6.90,43.25,"89,960.00",3.70,25.90,28.84,39.63,52.88,63.79,"53,870.00","59,990.00","82,430.00","109,990.00","132,690.00",3.00,0.93
Computer Systems Analysts (SOC code 15-1211),Texas (48-00000),"48,150.00",5.10,54.98,"114,350.00",1.50,31.92,39.50,50.47,65.04,79.90,"66,400.00","82,170.00","104,970.00","135,270.00","166,200.00",3.48,1.08
Computer Systems Analysts (SOC code 15-1211),Utah (49-00000),"2,810.00",6.10,46.34,"96,380.00",1.30,29.02,37.45,44.87,54.03,64.55,"60,360.00","77,900.00","93,330.00","112,380.00","134,260.00",1.64,0.51
Computer Systems Analysts (SOC code 15-1211),Vermont (50-00000),590.00,27.70,50.21,"104,440.00",3.90,34.24,39.15,47.45,57.46,61.83,"71,220.00","81,430.00","98,690.00","119,510.00","128,610.00",1.92,0.60
Computer Systems Analysts (SOC code 15-1211),Virgin Islands (78-00000),50.00,2.70,31.50,"65,530.00",2.50,24.36,25.46,27.24,36.67,43.91,"50,670.00","52,950.00","56,650.00","76,280.00","91,330.00",1.33,0.41
Computer Systems Analysts (SOC code 15-1211),Virginia (51-00000),"22,730.00",5.30,58.11,"120,880.00",2.10,34.52,42.95,54.57,71.47,88.08,"71,800.00","89,330.00","113,500.00","148,650.00","183,200.00",5.59,1.73
Computer Systems Analysts (SOC code 15-1211),Washington (53-00000),"18,230.00",6.50,64.29,"133,710.00",2.30,39.19,48.79,61.26,77.80,89.64,"81,520.00","101,470.00","127,420.00","161,820.00","186,450.00",5.15,1.59
Computer Systems Analysts (SOC code 15-1211),West Virginia (54-00000),"1,300.00",15.10,47.67,"99,150.00",3.50,28.26,37.60,47.62,58.73,66.86,"58,770.00","78,210.00","99,050.00","122,160.00","139,080.00",1.86,0.58
Computer Systems Analysts (SOC code 15-1211),Wisconsin (55-00000),"7,710.00",12.10,47.83,"99,490.00",1.50,30.91,38.06,47.50,56.72,62.58,"64,280.00","79,170.00","98,790.00","117,990.00","130,160.00",2.64,0.82
Computer Systems Analysts (SOC code 15-1211),Wyoming (56-00000),320.00,24.30,45.94,"95,560.00",7.80,21.72,35.47,42.69,51.71,68.87,"45,170.00","73,770.00","88,790.00","107,550.00","143,250.00",1.16,0.36
Information Security Analysts (SOC code 15-1212),Alabama (01-00000),"3,290.00",8.00,54.23,"112,800.00",3.00,29.34,38.40,53.42,66.48,79.39,"61,020.00","79,870.00","111,110.00","138,270.00","165,120.00",1.57,1.35
Information Security Analysts (SOC code 15-1212),Alaska (02-00000),210.00,31.10,53.80,"111,900.00",2.80,40.87,46.31,49.12,58.20,76.89,"85,010.00","96,320.00","102,170.00","121,060.00","159,930.00",0.65,0.56
Information Security Analysts (SOC code 15-1212),Arizona (04-00000),"4,170.00",8.50,59.51,"123,780.00",3.90,34.76,42.56,60.25,77.52,83.17,"72,300.00","88,520.00","125,320.00","161,250.00","173,000.00",1.30,1.12
Information Security Analysts (SOC code 15-1212),Arkansas (05-00000),"1,010.00",7.10,46.19,"96,080.00",2.00,27.72,32.11,44.98,60.36,62.96,"57,660.00","66,800.00","93,560.00","125,550.00","130,960.00",0.78,0.67
Information Security Analysts (SOC code 15-1212),California (06-00000),"15,800.00",5.20,73.38,"152,640.00",1.60,35.11,50.56,67.63,85.62,105.82,"73,030.00","105,150.00","140,660.00","178,090.00","220,100.00",0.88,0.75
Information Security Analysts (SOC code 15-1212),Colorado (08-00000),"5,840.00",5.50,65.38,"135,980.00",2.10,39.00,49.21,62.78,78.85,94.92,"81,120.00","102,350.00","130,570.00","164,010.00","197,440.00",2.02,1.74
Information Security Analysts (SOC code 15-1212),Connecticut (09-00000),"1,160.00",15.00,61.42,"127,740.00",2.80,40.77,45.80,62.74,73.28,81.51,"84,800.00","95,260.00","130,500.00","152,410.00","169,550.00",0.69,0.59
Information Security Analysts (SOC code 15-1212),Delaware (10-00000),630.00,6.30,62.91,"130,860.00",2.20,38.34,50.63,64.45,74.07,79.61,"79,750.00","105,310.00","134,050.00","154,060.00","165,600.00",1.31,1.13
Information Security Analysts (SOC code 15-1212),District of Columbia (11-00000),"2,010.00",25.00,63.84,"132,790.00",3.60,40.26,52.73,61.43,72.56,83.58,"83,730.00","109,680.00","127,760.00","150,920.00","173,840.00",2.84,2.44
Information Security Analysts (SOC code 15-1212),Florida (12-00000),"13,770.00",5.00,56.49,"117,500.00",1.70,34.58,41.47,50.96,66.90,80.73,"71,930.00","86,250.00","105,990.00","139,150.00","167,920.00",1.40,1.21
Information Security Analysts (SOC code 15-1212),Georgia (13-00000),"6,480.00",4.70,60.76,"126,380.00",2.30,35.38,44.53,59.75,75.19,82.63,"73,590.00","92,620.00","124,270.00","156,390.00","171,860.00",1.34,1.15
Information Security Analysts (SOC code 15-1212),Hawaii (15-00000),580.00,19.40,61.69,"128,310.00",6.00,33.13,47.95,60.47,74.20,102.02,"68,900.00","99,730.00","125,790.00","154,340.00","212,210.00",0.94,0.81
Information Security Analysts (SOC code 15-1212),Idaho (16-00000),870.00,9.10,70.14,"145,880.00",12.90,29.29,42.30,58.64,75.51,105.55,"60,920.00","87,980.00","121,970.00","157,060.00","219,530.00",1.03,0.88
Information Security Analysts (SOC code 15-1212),Illinois (17-00000),"4,560.00",4.90,57.47,"119,540.00",2.10,34.07,40.36,54.95,66.41,81.50,"70,870.00","83,960.00","114,300.00","138,130.00","169,520.00",0.75,0.65
Information Security Analysts (SOC code 15-1212),Indiana (18-00000),"2,540.00",33.70,44.11,"91,740.00",7.50,30.15,31.01,37.64,55.60,72.22,"62,710.00","64,500.00","78,290.00","115,650.00","150,220.00",0.80,0.68
Information Security Analysts (SOC code 15-1212),Iowa (19-00000),"1,180.00",9.50,56.11,"116,710.00",7.70,31.98,39.90,54.30,64.34,83.60,"66,520.00","82,990.00","112,950.00","133,830.00","173,890.00",0.76,0.65
Information Security Analysts (SOC code 15-1212),Kansas (20-00000),"1,380.00",13.20,48.48,"100,850.00",5.20,22.25,34.60,47.80,62.06,73.12,"46,270.00","71,960.00","99,420.00","129,080.00","152,080.00",0.96,0.83
Information Security Analysts (SOC code 15-1212),Kentucky (21-00000),"1,790.00",15.80,49.43,"102,820.00",3.20,26.70,32.52,47.22,61.98,79.87,"55,540.00","67,650.00","98,210.00","128,910.00","166,130.00",0.90,0.77
Information Security Analysts (SOC code 15-1212),Louisiana (22-00000),580.00,9.80,48.69,"101,280.00",9.30,30.47,35.49,42.41,51.56,63.66,"63,370.00","73,830.00","88,200.00","107,250.00","132,410.00",0.30,0.26
Information Security Analysts (SOC code 15-1212),Maine (23-00000),270.00,16.40,47.80,"99,420.00",6.00,29.13,35.53,45.05,62.29,65.87,"60,590.00","73,890.00","93,710.00","129,560.00","137,000.00",0.42,0.36
Information Security Analysts (SOC code 15-1212),Maryland (24-00000),"8,770.00",9.40,69.93,"145,450.00",3.80,38.51,50.59,67.54,84.32,99.51,"80,100.00","105,230.00","140,480.00","175,390.00","206,980.00",3.19,2.74
Information Security Analysts (SOC code 15-1212),Massachusetts (25-00000),"5,780.00",12.00,62.19,"129,350.00",2.20,38.12,48.91,61.35,77.86,85.97,"79,290.00","101,730.00","127,610.00","161,940.00","178,810.00",1.59,1.36
Information Security Analysts (SOC code 15-1212),Michigan (26-00000),"3,120.00",7.40,51.75,"107,630.00",3.40,29.48,38.42,50.26,62.09,78.89,"61,310.00","79,920.00","104,540.00","129,150.00","164,100.00",0.71,0.61
Information Security Analysts (SOC code 15-1212),Minnesota (27-00000),"2,550.00",3.80,60.65,"126,150.00",1.20,38.13,47.74,61.94,70.13,81.23,"79,300.00","99,300.00","128,830.00","145,860.00","168,960.00",0.87,0.75
Information Security Analysts (SOC code 15-1212),Mississippi (28-00000),560.00,20.70,43.23,"89,910.00",7.30,24.43,28.96,40.69,50.88,64.67,"50,810.00","60,240.00","84,640.00","105,830.00","134,520.00",0.49,0.42
Information Security Analysts (SOC code 15-1212),Missouri (29-00000),"2,560.00",9.30,51.56,"107,250.00",2.20,28.62,37.60,49.25,62.89,76.39,"59,530.00","78,210.00","102,440.00","130,810.00","158,880.00",0.88,0.75
Information Security Analysts (SOC code 15-1212),Montana (30-00000),8.00,8.00,47.86,"99,560.00",8.80,34.10,41.87,41.87,49.35,66.12,"70,920.00","87,100.00","87,100.00","102,650.00","137,540.00",8.00,8.00
Information Security Analysts (SOC code 15-1212),Nebraska (31-00000),"1,120.00",10.20,49.67,"103,310.00",2.60,32.69,40.92,45.90,58.83,68.49,"67,990.00","85,120.00","95,470.00","122,360.00","142,470.00",1.10,0.95
Information Security Analysts (SOC code 15-1212),Nevada (32-00000),"1,570.00",26.60,53.53,"111,340.00",9.40,23.82,38.64,51.22,65.73,82.90,"49,550.00","80,380.00","106,530.00","136,710.00","172,440.00",1.03,0.88
Information Security Analysts (SOC code 15-1212),New Hampshire (33-00000),730.00,10.50,61.56,"128,040.00",5.30,36.02,47.37,62.35,76.14,87.14,"74,920.00","98,540.00","129,690.00","158,360.00","181,260.00",1.06,0.91
Information Security Analysts (SOC code 15-1212),New Jersey (34-00000),"4,730.00",6.30,67.85,"141,130.00",1.30,40.31,52.08,65.09,80.89,95.22,"83,840.00","108,320.00","135,390.00","168,240.00","198,050.00",1.11,0.96
Information Security Analysts (SOC code 15-1212),New Mexico (35-00000),"1,760.00",6.90,63.09,"131,220.00",1.60,40.31,49.01,64.32,79.95,85.75,"83,840.00","101,940.00","133,780.00","166,300.00","178,370.00",2.05,1.76
Information Security Analysts (SOC code 15-1212),New York (36-00000),"8,860.00",4.30,67.09,"139,540.00",1.20,38.72,47.27,63.03,81.84,101.55,"80,540.00","98,320.00","131,100.00","170,220.00","211,230.00",0.93,0.80
Information Security Analysts (SOC code 15-1212),North Carolina (37-00000),"6,850.00",6.60,58.80,"122,310.00",3.60,31.38,42.58,58.21,70.69,82.92,"65,260.00","88,560.00","121,070.00","147,030.00","172,470.00",1.40,1.20
Information Security Analysts (SOC code 15-1212),North Dakota (38-00000),340.00,38.00,48.66,"101,200.00",7.10,32.81,43.04,54.01,54.01,54.62,"68,240.00","89,520.00","112,330.00","112,330.00","113,600.00",0.80,0.69
Information Security Analysts (SOC code 15-1212),Ohio (39-00000),"5,070.00",4.80,55.58,"115,600.00",1.70,32.29,40.14,51.72,66.07,79.79,"67,150.00","83,480.00","107,570.00","137,430.00","165,970.00",0.92,0.79
Information Security Analysts (SOC code 15-1212),Oklahoma (40-00000),"1,270.00",8.20,44.42,"92,390.00",4.80,16.31,27.64,41.59,56.49,74.36,"33,910.00","57,490.00","86,500.00","117,500.00","154,670.00",0.75,0.64
Information Security Analysts (SOC code 15-1212),Oregon (41-00000),"1,370.00",17.90,63.67,"132,430.00",4.30,37.47,45.02,57.21,73.50,105.31,"77,940.00","93,650.00","119,000.00","152,880.00","219,040.00",0.69,0.60
Information Security Analysts (SOC code 15-1212),Pennsylvania (42-00000),"4,420.00",7.30,55.22,"114,870.00",4.00,29.94,38.31,53.00,66.30,81.44,"62,270.00","79,670.00","110,230.00","137,900.00","169,390.00",0.74,0.63
Information Security Analysts (SOC code 15-1212),Puerto Rico (72-00000),470.00,10.50,29.90,"62,190.00",3.90,14.16,21.53,28.62,39.10,47.64,"29,460.00","44,780.00","59,520.00","81,330.00","99,080.00",0.50,0.43
Information Security Analysts (SOC code 15-1212),Rhode Island (44-00000),880.00,19.50,56.26,"117,010.00",2.80,34.60,41.24,52.60,68.12,77.32,"71,970.00","85,790.00","109,410.00","141,690.00","160,820.00",1.78,1.53
Information Security Analysts (SOC code 15-1212),South Carolina (45-00000),"1,470.00",34.80,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,0.65,0.56
Information Security Analysts (SOC code 15-1212),South Dakota (46-00000),430.00,13.80,50.06,"104,120.00",5.50,35.79,41.52,49.67,55.43,67.18,"74,430.00","86,360.00","103,310.00","115,300.00","139,730.00",0.94,0.81
Information Security Analysts (SOC code 15-1212),Tennessee (47-00000),"2,730.00",6.40,53.77,"111,840.00",2.50,32.34,38.71,48.55,63.91,79.31,"67,260.00","80,520.00","100,990.00","132,930.00","164,970.00",0.83,0.72
Information Security Analysts (SOC code 15-1212),Texas (48-00000),"14,730.00",4.20,60.96,"126,800.00",3.10,34.85,46.17,60.08,72.01,83.34,"72,490.00","96,020.00","124,970.00","149,780.00","173,350.00",1.06,0.91
Information Security Analysts (SOC code 15-1212),Utah (49-00000),"1,720.00",9.00,48.76,"101,430.00",4.10,23.51,35.00,46.72,61.53,76.34,"48,900.00","72,800.00","97,180.00","127,980.00","158,780.00",1.00,0.86
Information Security Analysts (SOC code 15-1212),Vermont (50-00000),80.00,12.10,46.06,"95,800.00",4.80,29.19,32.25,41.73,52.37,70.88,"60,720.00","67,080.00","86,810.00","108,940.00","147,420.00",0.26,0.22
Information Security Analysts (SOC code 15-1212),Virginia (51-00000),"18,670.00",5.80,65.71,"136,680.00",1.80,36.58,48.85,63.68,80.05,97.46,"76,080.00","101,610.00","132,460.00","166,510.00","202,720.00",4.59,3.95
Information Security Analysts (SOC code 15-1212),Washington (53-00000),"6,830.00",22.80,69.30,"144,140.00",4.70,35.20,56.27,68.71,81.42,97.25,"73,220.00","117,040.00","142,920.00","169,350.00","202,270.00",1.93,1.66
Information Security Analysts (SOC code 15-1212),West Virginia (54-00000),270.00,16.40,49.89,"103,770.00",3.90,29.78,38.40,51.84,59.50,68.10,"61,940.00","79,870.00","107,820.00","123,770.00","141,660.00",0.38,0.33
Information Security Analysts (SOC code 15-1212),Wisconsin (55-00000),"1,760.00",8.00,51.09,"106,260.00",2.80,30.85,38.29,47.70,61.91,77.56,"64,170.00","79,640.00","99,210.00","128,770.00","161,330.00",0.60,0.52
Information Security Analysts (SOC code 15-1212),Wyoming (56-00000),8.00,8.00,58.93,"122,570.00",18.10,30.63,39.59,58.31,77.72,92.49,"63,700.00","82,350.00","121,290.00","161,650.00","192,380.00",8.00,8.00
